,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0016 ,0.0000 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 13,FGA,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,Oraon,Munda,Santal,Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,0.0000 ,0.0000 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0250 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0018 ,0.0015 ,0.0008 ,0.0000 ,,0.0000 ,0.0050 ,0.0040 ,0.0000 ,,0.0020 ,0.0020 ,0.0000 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,0.0438 ,0.0370 ,0.0325 ,0.0296 ,0.0366 ,0.0299 ,0.0333 ,0.0300 ,0.0472 ,0.0306 ,0.0302 ,0.0362 ,0.0149 ,,0.0238 ,0.0270 ,0.0350 ,0.0152 ,,0.0260 ,0.0050 ,0.0140 ,,0.0069 ,0.0170 ,0.0500 ,0.0250 ,0.0157 ,,0.0087 ,0.0080 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,0.1125 ,0.0782 ,0.0699 ,0.0591 ,0.0732 ,0.0709 ,0.0667 ,0.0700 ,0.0377 ,0.0465 ,0.0483 ,0.0535 ,0.0506 ,,0.0612 ,0.0850 ,0.0690 ,0.0455 ,,0.0500 ,0.0620 ,0.0710 ,,0.0338 ,0.1000 ,0.0500 ,0.0660 ,0.0472 ,,0.0435 ,0.0380 ,0.0777 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0080 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,0.0250 ,0.0391 ,0.0446 ,0.0271 ,0.0488 ,0.0149 ,0.0278 ,0.0100 ,0.0189 ,0.0453 ,0.0468 ,0.0323 ,0.0625 ,,0.0411 ,0.0940 ,0.0450 ,0.0581 ,,0.0790 ,0.0670 ,0.0660 ,,0.1145 ,0.1080 ,0.1330 ,0.0980 ,0.1260 ,,0.1130 ,0.1160 ,0.0631 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0075 ,0.0000 ,0.0000 ,0.0000 ,0.0006 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0020 ,0.0000 ,,0.0020 ,0.0050 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0118 ,,0.0000 ,0.0020 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,0.0438 ,0.0473 ,0.0458 ,0.0640 ,0.0427 ,0.0672 ,0.0778 ,0.0900 ,0.0660 ,0.0671 ,0.0619 ,0.0780 ,0.1220 ,,0.1133 ,0.1460 ,0.1410 ,0.1110 ,,0.1290 ,0.1600 ,0.1600 ,,0.1484 ,0.0420 ,0.0580 ,0.0330 ,0.1063 ,,0.1391 ,0.1740 ,0.1650 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.2,0.0000 ,0.0000 ,0.0024 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0200 ,0.0000 ,0.0012 ,0.0015 ,0.0000 ,0.0089 ,,0.0064 ,0.0000 ,0.0000 ,0.0000 ,,0.0210 ,0.0140 ,0.0090 ,,0.0109 ,0.0080 ,0.0330 ,0.0160 ,0.0039 ,,0.0348 ,0.0090 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,0.1188 ,0.1543 ,0.1614 ,0.1650 ,0.1524 ,0.1381 ,0.1611 ,0.1500 ,0.1321 ,0.1741 ,0.1662 ,0.1740 ,0.1310 ,,0.1636 ,0.1820 ,0.1690 ,0.1465 ,,0.2070 ,0.2000 ,0.2260 ,,0.1454 ,0.2250 ,0.2080 ,0.1970 ,0.1417 ,,0.1957 ,0.1580 ,0.1602 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.2,0.0063 ,0.0082 ,0.0072 ,0.0000 ,0.0061 ,0.0037 ,0.0056 ,0.0000 ,0.0094 ,0.0012 ,0.0091 ,0.0063 ,0.0000 ,,0.0046 ,0.0010 ,0.0000 ,0.0000 ,,0.0120 ,0.0050 ,0.0000 ,,0.0099 ,0.0170 ,0.0080 ,0.0000 ,0.0000 ,,0.0087 ,0.0050 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,0.2500 ,0.1975 ,0.2217 ,0.2118 ,0.2012 ,0.2575 ,0.2167 ,0.2000 ,0.1981 ,0.2135 ,0.2460 ,0.1866 ,0.1875 ,,0.2294 ,0.1980 ,0.2250 ,0.2626 ,,0.1860 ,0.1210 ,0.2170 ,,0.1723 ,0.2330 ,0.2000 ,0.2870 ,0.1890 ,,0.1217 ,0.1830 ,0.1990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.2,0.0188 ,0.0165 ,0.0084 ,0.0172 ,0.0122 ,0.0075 ,0.0167 ,0.0500 ,0.0377 ,0.0118 ,0.0211 ,0.0173 ,0.0149 ,,0.0055 ,0.0020 ,0.0020 ,0.0000 ,,0.0070 ,0.0120 ,0.0050 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0043 ,0.0020 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,0.2063 ,0.2222 ,0.2060 ,0.2340 ,0.1768 ,0.1642 ,0.1722 ,0.1900 ,0.2358 ,0.1888 ,0.1782 ,0.2024 ,0.2143 ,,0.1728 ,0.1500 ,0.1800 ,0.1944 ,,0.1100 ,0.1760 ,0.1320 ,,0.1932 ,0.1170 ,0.1330 ,0.1230 ,0.1969 ,,0.1391 ,0.1710 ,0.2087 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.2,0.0000 ,0.0267 ,0.0181 ,0.0123 ,0.0122 ,0.0187 ,0.0056 ,0.0100 ,0.0472 ,0.0124 ,0.0196 ,0.0063 ,0.0089 ,,0.0055 ,0.0020 ,0.0000 ,0.0051 ,,0.0050 ,0.0050 ,0.0000 ,,0.0029 ,0.0000 ,0.0000 ,0.0250 ,0.0157 ,,0.0043 ,0.0030 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,0.1063 ,0.1049 ,0.0904 ,0.1133 ,0.1463 ,0.1119 ,0.1278 ,0.1100 ,0.1321 ,0.1141 ,0.1042 ,0.1236 ,0.1399 ,,0.0969 ,0.0640 ,0.0950 ,0.1010 ,,0.0930 ,0.0830 ,0.0520 ,,0.1045 ,0.0750 ,0.0500 ,0.0410 ,0.0984 ,,0.1261 ,0.0920 ,0.0728 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.2,0.0125 ,0.0062 ,0.0048 ,0.0049 ,0.0061 ,0.0112 ,0.0111 ,0.0000 ,0.0000 ,0.0088 ,0.0030 ,0.0055 ,0.0030 ,,0.0037 ,0.0040 ,0.0000 ,0.0025 ,,0.0120 ,0.0100 ,0.0000 ,,0.0019 ,0.0000 ,0.0000 ,0.0250 ,0.0039 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,0.0188 ,0.0350 ,0.0410 ,0.0345 ,0.0549 ,0.0597 ,0.0278 ,0.0500 ,0.0189 ,0.0535 ,0.0393 ,0.0449 ,0.0268 ,,0.0548 ,0.0310 ,0.0300 ,0.0480 ,,0.0400 ,0.0500 ,0.0380 ,,0.0428 ,0.0080 ,0.0080 ,0.0410 ,0.0276 ,,0.0435 ,0.0330 ,0.0340 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.2,0.0000 ,0.0041 ,0.0048 ,0.0025 ,0.0000 ,0.0075 ,0.0000 ,0.0000 ,0.0000 ,0.0012 ,0.0045 ,0.0039 ,0.0000 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,,0.0050 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0080 ,0.0160 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,0.0188 ,0.0062 ,0.0157 ,0.0172 ,0.0122 ,0.0149 ,0.0222 ,0.0100 ,0.0094 ,0.0218 ,0.0166 ,0.0158 ,0.0119 ,,0.0101 ,0.0070 ,0.0000 ,0.0076 ,,0.0100 ,0.0170 ,0.0050 ,,0.0109 ,0.0170 ,0.0170 ,0.0000 ,0.0118 ,,0.0130 ,0.0090 ,0.0097 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.2,0.0063 ,0.0000 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0006 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,0.0125 ,0.0165 ,0.0169 ,0.0074 ,0.0183 ,0.0149 ,0.0278 ,0.0100 ,0.0000 ,0.0035 ,0.0015 ,0.0095 ,0.0030 ,,0.0064 ,0.0020 ,0.0000 ,0.0025 ,,0.0050 ,0.0070 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0043 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,0.0000 ,0.0000 ,0.0048 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0094 ,0.0018 ,0.0000 ,0.0032 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,0.0000 ,0.0000 ,0.0012 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0080 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0080 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
